CONTENT	phone-portrait	/	vp=390x844	y=20..824(95%)	x=16..374	hScrollNodes=1	wide=
CONTENT	phone-portrait	/lobby	vp=390x844	y=20..804(93%)	x=20..370	hScrollNodes=1	wide=
CONTENT	phone-portrait	/rules	vp=390x844	y=20..2049(240%)	x=20..612	hScrollNodes=2	wide=Q [402..411] | Regina [392..421] | J [469..477]
CONTENT	phone-portrait	/(online)	vp=390x844	y=20..586(67%)	x=20..370	hScrollNodes=1	wide=
CONTENT	phone-portrait	/(online)/profile	vp=390x844	y=20..1776(208%)	x=20..370	hScrollNodes=1	wide=
CONTENT	phone-portrait	/(online)/friends	vp=390x844	y=20..557(64%)	x=20..353	hScrollNodes=2	wide=
CONTENT	phone-portrait	/(online)/leaderboard	vp=390x844	y=20..404(45%)	x=20..353	hScrollNodes=1	wide=
CONTENT	phone-portrait	/(online)/quickmatch	vp=390x844	y=20..820(95%)	x=38..336	hScrollNodes=5	wide=
CONTENT	phone-portrait	/(online)/room	vp=390x844	y=20..586(67%)	x=20..370	hScrollNodes=1	wide=
CONTENT	phone-portrait	/(online)/replay	vp=390x844	y=335..472(16%)	x=20..370	hScrollNodes=1	wide=
CONTENT	phone-portrait	/this-route-does-not-exist	vp=390x844	y=331..510(21%)	x=40..350	hScrollNodes=1	wide=
CONTENT	phone-landscape	/	vp=844x390	y=36..368(85%)	x=16..828	hScrollNodes=1	wide=
CONTENT	phone-landscape	/lobby	vp=844x390	y=20..358(87%)	x=20..808	hScrollNodes=1	wide=
CONTENT	phone-landscape	/rules	vp=844x390	y=20..1885(478%)	x=42..802	hScrollNodes=1	wide=
CONTENT	phone-landscape	/(online)	vp=844x390	y=20..338(82%)	x=42..794	hScrollNodes=1	wide=
CONTENT	phone-landscape	/(online)/profile	vp=844x390	y=20..1696(430%)	x=42..802	hScrollNodes=1	wide=
CONTENT	phone-landscape	/(online)/friends	vp=844x390	y=20..557(138%)	x=42..785	hScrollNodes=2	wide=
CONTENT	phone-landscape	/(online)/leaderboard	vp=844x390	y=20..404(98%)	x=30..825	hScrollNodes=2	wide=
CONTENT	phone-landscape	/(online)/quickmatch	vp=844x390	y=20..366(89%)	x=30..825	hScrollNodes=7	wide=
CONTENT	phone-landscape	/(online)/room	vp=844x390	y=20..338(82%)	x=30..825	hScrollNodes=2	wide=
CONTENT	phone-landscape	/(online)/replay	vp=844x390	y=67..245(46%)	x=30..825	hScrollNodes=2	wide=
CONTENT	phone-landscape	/this-route-does-not-exist	vp=844x390	y=67..283(55%)	x=30..825	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/	vp=834x1112	y=20..1092(96%)	x=16..818	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/lobby	vp=834x1112	y=20..1072(95%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/rules	vp=834x1112	y=20..1885(168%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/(online)	vp=834x1112	y=20..586(51%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/(online)/profile	vp=834x1112	y=20..1696(151%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/(online)/friends	vp=834x1112	y=20..557(48%)	x=30..815	hScrollNodes=3	wide=
CONTENT	tablet-portrait	/(online)/leaderboard	vp=834x1112	y=20..404(35%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/(online)/quickmatch	vp=834x1112	y=20..1088(96%)	x=30..815	hScrollNodes=6	wide=
CONTENT	tablet-portrait	/(online)/room	vp=834x1112	y=20..586(51%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/(online)/replay	vp=834x1112	y=21..606(53%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-portrait	/this-route-does-not-exist	vp=834x1112	y=21..644(56%)	x=30..815	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/	vp=1112x834	y=36..798(91%)	x=16..1096	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/lobby	vp=1112x834	y=20..802(94%)	x=20..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/rules	vp=1112x834	y=20..1885(224%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/(online)	vp=1112x834	y=20..338(38%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/(online)/profile	vp=1112x834	y=20..1696(201%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/(online)/friends	vp=1112x834	y=20..557(64%)	x=30..1093	hScrollNodes=3	wide=
CONTENT	tablet-landscape	/(online)/leaderboard	vp=1112x834	y=20..404(46%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/(online)/quickmatch	vp=1112x834	y=20..810(95%)	x=30..1093	hScrollNodes=8	wide=
CONTENT	tablet-landscape	/(online)/room	vp=1112x834	y=20..338(38%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/(online)/replay	vp=1112x834	y=119..467(42%)	x=30..1093	hScrollNodes=2	wide=
CONTENT	tablet-landscape	/this-route-does-not-exist	vp=1112x834	y=-1..505(61%)	x=30..1093	hScrollNodes=1	wide=
  1 passed (1.3m)
